ASNo,Number of Nodes,Running SUM,Nodes/33
AS24940,917,917,27.7878787878788
AS16276,438,1355,13.2727272727273
AS16509,424,1779,12.8484848484848
AS14061,299,2078,9.06060606060606
AS7922,273,2351,8.27272727272727
AS51167,184,2535,5.57575757575758
AS701,141,2676,4.27272727272727
AS7018,112,2788,3.39393939393939
AS14618,93,2881,2.81818181818182
AS20473,78,2959,2.36363636363636
AS3320,75,3034,2.27272727272727
AS3209,73,3107,2.21212121212121
AS22773,69,3176,2.09090909090909
AS63949,69,3245,2.09090909090909
AS12876,66,3311,2
AS12322,57,3368,100.333333333333
AS209,55,3423,
AS20115,52,3475,
AS1136,51,3526,
AS49981,51,3577,
AS45102,50,3627,
AS37963,48,3675,
AS33915,46,3721,
AS197540,45,3766,
AS20001,40,3806,
AS11427,37,3843,
AS15169,37,3880,
AS577,35,3915,
AS10796,33,3948,
AS6724,32,3980,
AS5089,32,4012,
AS6327,31,4043,
AS8075,29,4072,
AS5650,29,4101,
AS6939,29,4130,
AS396982,28,4158,
AS6830,28,4186,
AS60781,25,4211,
AS3303,24,4235,
AS33363,22,4257,
AS2856,21,4278,
AS11351,20,4298,
AS7545,19,4317,
AS43350,19,4336,
AS13030,19,4355,
AS3352,19,4374,
AS852,18,4392,
AS6128,18,4410,
AS2119,18,4428,
AS812,18,4446,
AS22612,18,4464,
AS20857,18,4482,
AS5645,17,4499,
AS3215,17,4516,
AS16591,17,4533,
AS4134,17,4550,
AS8708,17,4567,
AS12874,17,4584,
AS11426,16,4600,
AS9009,16,4616,
AS42610,16,4632,
AS34878,15,4647,
AS174,15,4662,
AS1221,14,4676,
AS28573,14,4690,
AS8881,14,4704,
AS50266,14,4718,
AS6805,14,4732,
AS45090,13,4745,
AS49505,13,4758,
AS3462,13,4771,
AS7303,13,4784,
AS3301,13,4797,
AS44901,12,4809,
AS19108,12,4821,
AS16125,12,4833,
AS6079,12,4845,
AS6730,12,4857,
AS16019,12,4869,
AS12389,12,4881,
AS31898,11,4892,
AS8412,11,4903,
AS12479,11,4914,
AS8560,11,4925,
AS4764,10,4935,
AS24961,10,4945,
AS15557,10,4955,
AS6848,10,4965,
AS35807,10,4975,
AS40021,10,4985,
AS12271,10,4995,
AS38195,10,5005,
AS3243,10,5015,
AS4181,10,5025,
AS8473,10,5035,
AS5432,9,5044,
AS8151,9,5053,
AS16086,9,5062,
AS6871,9,5071,
AS206238,9,5080,
AS15704,9,5089,
AS212531,9,5098,
AS62282,9,5107,
AS132203,9,5116,
AS5769,9,5125,
AS4808,8,5133,
AS41164,8,5141,
None,8,5149,
AS9790,8,5157,
AS30600,8,5165,
AS6855,8,5173,
AS15600,8,5181,
AS3269,8,5189,
AS29066,8,5197,
AS4804,8,5205,
AS20055,8,5213,
AS61272,7,5220,
AS39572,7,5227,
AS2516,7,5234,
AS54415,7,5241,
AS27017,7,5248,
AS5610,7,5255,
AS33588,7,5262,
AS1267,7,5269,
