blockGenerator,time
15_L2_UNIV15_miner_152,2022-05-04 21:57:55.549553
15_L2_UNIV15_miner_152,2022-05-04 21:58:09.822869
15_L2_UNIV15_miner_152,2022-05-04 21:58:23.942925
15_L2_UNIV15_miner_152,2022-05-04 21:58:38.146810
15_L2_UNIV15_miner_152,2022-05-04 21:58:52.623789
15_L2_UNIV15_miner_152,2022-05-04 21:59:06.771547
15_L2_UNIV15_miner_151,2022-05-04 21:59:21.207461
15_L2_UNIV15_miner_152,2022-05-04 21:59:35.883871
15_L2_UNIV15_miner_152,2022-05-04 21:59:50.391522
15_L2_UNIV15_miner_151,2022-05-04 22:00:04.849240
15_L2_UNIV15_miner_152,2022-05-04 22:00:19.169325
15_L2_UNIV15_miner_152,2022-05-04 22:00:33.617290
15_L2_UNIV15_miner_152,2022-05-04 22:00:48.116994
15_L2_UNIV15_miner_152,2022-05-04 22:01:02.445304
15_L2_UNIV15_miner_151,2022-05-04 22:01:16.667940
15_L2_UNIV15_miner_151,2022-05-04 22:01:31.075559
15_L2_UNIV15_miner_152,2022-05-04 22:01:45.479959
15_L2_UNIV15_miner_152,2022-05-04 22:02:00.085218
15_L2_UNIV15_miner_151,2022-05-04 22:02:14.485764
15_L2_UNIV15_miner_152,2022-05-04 22:02:28.880588
15_L2_UNIV15_miner_152,2022-05-04 22:02:43.185499
blockNum,time,hosts,delta
0,2022-05-04 21:57:55.667586,15_L2_UNIV15_miner_152,0 days 00:00:00.118033
1,2022-05-04 21:58:09.982574,15_L2_UNIV15_miner_152,0 days 00:00:00.159705
2,2022-05-04 21:58:24.079858,15_L2_UNIV15_miner_152,0 days 00:00:00.136933
3,2022-05-04 21:58:38.293955,15_L2_UNIV15_miner_152,0 days 00:00:00.147145
4,2022-05-04 21:58:52.791947,15_L2_UNIV15_miner_152,0 days 00:00:00.168158
5,2022-05-04 21:59:06.923883,15_L2_UNIV15_miner_152,0 days 00:00:00.152336
6,2022-05-04 21:59:21.338626,15_L2_UNIV15_miner_152,0 days 00:00:00.131165
7,2022-05-04 21:59:36.005923,15_L2_UNIV15_miner_152,0 days 00:00:00.122052
8,2022-05-04 21:59:50.524698,15_L2_UNIV15_miner_152,0 days 00:00:00.133176
9,2022-05-04 22:00:04.996889,15_L2_UNIV15_miner_152,0 days 00:00:00.147649
10,2022-05-04 22:00:19.286363,15_L2_UNIV15_miner_152,0 days 00:00:00.117038
11,2022-05-04 22:00:33.771981,15_L2_UNIV15_miner_152,0 days 00:00:00.154691
12,2022-05-04 22:00:48.282687,15_L2_UNIV15_miner_152,0 days 00:00:00.165693
13,2022-05-04 22:01:02.580021,15_L2_UNIV15_miner_152,0 days 00:00:00.134717
14,2022-05-04 22:01:16.814821,15_L2_UNIV15_miner_152,0 days 00:00:00.146881
15,2022-05-04 22:01:31.239196,15_L2_UNIV15_miner_152,0 days 00:00:00.163637
16,2022-05-04 22:01:45.649590,15_L2_UNIV15_miner_152,0 days 00:00:00.169631
17,2022-05-04 22:02:00.236120,15_L2_UNIV15_miner_152,0 days 00:00:00.150902
18,2022-05-04 22:02:14.638480,15_L2_UNIV15_miner_152,0 days 00:00:00.152716
19,2022-05-04 22:02:29.043170,15_L2_UNIV15_miner_152,0 days 00:00:00.162582
0,2022-05-04 21:57:55.826762,15_L2_UNIV15_miner_151,0 days 00:00:00.277209
1,2022-05-04 21:58:10.118572,15_L2_UNIV15_miner_151,0 days 00:00:00.295703
2,2022-05-04 21:58:24.237138,15_L2_UNIV15_miner_151,0 days 00:00:00.294213
