blockGenerator,time
15_L2_UNIV15_miner_151,2022-05-04 18:44:11.681629
14_L2_UNIV14_miner_1413,2022-05-04 18:44:26.225449
15_L2_UNIV15_miner_152,2022-05-04 18:44:40.523119
15_L2_UNIV15_miner_152,2022-05-04 18:44:54.812926
15_L2_UNIV15_miner_152,2022-05-04 18:45:09.069808
15_L2_UNIV15_miner_152,2022-05-04 18:45:23.453750
15_L2_UNIV15_miner_152,2022-05-04 18:45:37.748088
15_L2_UNIV15_miner_152,2022-05-04 18:45:51.928034
15_L2_UNIV15_miner_152,2022-05-04 18:46:06.289445
15_L2_UNIV15_miner_152,2022-05-04 18:46:20.736936
14_L2_UNIV14_miner_1413,2022-05-04 18:46:35.149459
14_L2_UNIV14_miner_1413,2022-05-04 18:46:49.251679
14_L2_UNIV14_miner_1413,2022-05-04 18:47:03.713906
15_L2_UNIV15_miner_152,2022-05-04 18:47:18.122736
14_L2_UNIV14_miner_1413,2022-05-04 18:47:32.408136
14_L2_UNIV14_miner_1413,2022-05-04 18:47:46.844513
15_L2_UNIV15_miner_152,2022-05-04 18:48:01.006148
14_L2_UNIV14_miner_1413,2022-05-04 18:48:15.458427
15_L2_UNIV15_miner_151,2022-05-04 18:48:29.468043
15_L2_UNIV15_miner_152,2022-05-04 18:48:43.695427
15_L2_UNIV15_miner_152,2022-05-04 18:48:58.031935
blockNum,time,hosts,delta
0,2022-05-04 18:44:11.838632,15_L2_UNIV15_miner_152,0 days 00:00:00.157003
1,2022-05-04 18:44:26.350501,15_L2_UNIV15_miner_152,0 days 00:00:00.125052
2,2022-05-04 18:44:40.677783,15_L2_UNIV15_miner_152,0 days 00:00:00.154664
3,2022-05-04 18:44:54.952083,15_L2_UNIV15_miner_152,0 days 00:00:00.139157
4,2022-05-04 18:45:09.244493,15_L2_UNIV15_miner_152,0 days 00:00:00.174685
5,2022-05-04 18:45:23.609221,15_L2_UNIV15_miner_152,0 days 00:00:00.155471
6,2022-05-04 18:45:37.897319,15_L2_UNIV15_miner_152,0 days 00:00:00.149231
7,2022-05-04 18:45:52.084390,15_L2_UNIV15_miner_152,0 days 00:00:00.156356
8,2022-05-04 18:46:06.437166,15_L2_UNIV15_miner_152,0 days 00:00:00.147721
9,2022-05-04 18:46:20.882683,15_L2_UNIV15_miner_152,0 days 00:00:00.145747
10,2022-05-04 18:46:35.301469,15_L2_UNIV15_miner_152,0 days 00:00:00.152010
11,2022-05-04 18:46:49.378040,15_L2_UNIV15_miner_152,0 days 00:00:00.126361
12,2022-05-04 18:47:03.861365,15_L2_UNIV15_miner_152,0 days 00:00:00.147459
13,2022-05-04 18:47:18.257876,15_L2_UNIV15_miner_152,0 days 00:00:00.135140
14,2022-05-04 18:47:32.562767,15_L2_UNIV15_miner_152,0 days 00:00:00.154631
15,2022-05-04 18:47:46.989160,15_L2_UNIV15_miner_152,0 days 00:00:00.144647
16,2022-05-04 18:48:01.146856,15_L2_UNIV15_miner_152,0 days 00:00:00.140708
17,2022-05-04 18:48:15.615141,15_L2_UNIV15_miner_152,0 days 00:00:00.156714
18,2022-05-04 18:48:29.581587,15_L2_UNIV15_miner_152,0 days 00:00:00.113544
19,2022-05-04 18:48:43.828561,15_L2_UNIV15_miner_152,0 days 00:00:00.133134
0,2022-05-04 18:44:11.978477,15_L2_UNIV15_miner_151,0 days 00:00:00.296848
1,2022-05-04 18:44:26.498626,15_L2_UNIV15_miner_151,0 days 00:00:00.273177
2,2022-05-04 18:44:40.841760,15_L2_UNIV15_miner_151,0 days 00:00:00.318641
3,2022-05-04 18:44:55.114521,15_L2_UNIV15_miner_151,0 days 00:00:00.301595
4,2022-05-04 18:45:09.394466,15_L2_UNIV15_miner_151,0 days 00:00:00.324658
5,2022-05-04 18:45:23.745324,15_L2_UNIV15_miner_151,0 days 00:00:00.291574
6,2022-05-04 18:45:38.039850,15_L2_UNIV15_miner_151,0 days 00:00:00.291762
7,2022-05-04 18:45:52.239980,15_L2_UNIV15_miner_151,0 days 00:00:00.311946
8,2022-05-04 18:46:06.575373,15_L2_UNIV15_miner_151,0 days 00:00:00.285928
9,2022-05-04 18:46:21.036571,15_L2_UNIV15_miner_151,0 days 00:00:00.299635
10,2022-05-04 18:46:35.444955,15_L2_UNIV15_miner_151,0 days 00:00:00.295496
11,2022-05-04 18:46:49.525741,15_L2_UNIV15_miner_151,0 days 00:00:00.274062
12,2022-05-04 18:47:03.985296,15_L2_UNIV15_miner_151,0 days 00:00:00.271390
13,2022-05-04 18:47:18.382743,15_L2_UNIV15_miner_151,0 days 00:00:00.260007
14,2022-05-04 18:47:32.717380,15_L2_UNIV15_miner_151,0 days 00:00:00.309244
15,2022-05-04 18:47:47.113060,15_L2_UNIV15_miner_151,0 days 00:00:00.268547
16,2022-05-04 18:48:01.304783,15_L2_UNIV15_miner_151,0 days 00:00:00.298635
17,2022-05-04 18:48:15.778234,15_L2_UNIV15_miner_151,0 days 00:00:00.319807
18,2022-05-04 18:48:29.720971,15_L2_UNIV15_miner_151,0 days 00:00:00.252928
19,2022-05-04 18:48:43.979523,15_L2_UNIV15_miner_151,0 days 00:00:00.284096
0,2022-05-04 18:44:12.149155,14_L2_UNIV14_miner_1413,0 days 00:00:00.467526
1,2022-05-04 18:44:26.661026,14_L2_UNIV14_miner_1413,0 days 00:00:00.435577
2,2022-05-04 18:44:40.978343,14_L2_UNIV14_miner_1413,0 days 00:00:00.455224
3,2022-05-04 18:44:55.240258,14_L2_UNIV14_miner_1413,0 days 00:00:00.427332
4,2022-05-04 18:45:09.521935,14_L2_UNIV14_miner_1413,0 days 00:00:00.452127
5,2022-05-04 18:45:23.891880,14_L2_UNIV14_miner_1413,0 days 00:00:00.438130
6,2022-05-04 18:45:38.195821,14_L2_UNIV14_miner_1413,0 days 00:00:00.447733
7,2022-05-04 18:45:52.385921,14_L2_UNIV14_miner_1413,0 days 00:00:00.457887
8,2022-05-04 18:46:06.683425,14_L2_UNIV14_miner_1413,0 days 00:00:00.393980
9,2022-05-04 18:46:21.162495,14_L2_UNIV14_miner_1413,0 days 00:00:00.425559
10,2022-05-04 18:46:35.595084,14_L2_UNIV14_miner_1413,0 days 00:00:00.445625
11,2022-05-04 18:46:49.665408,14_L2_UNIV14_miner_1413,0 days 00:00:00.413729
12,2022-05-04 18:47:04.127424,14_L2_UNIV14_miner_1413,0 days 00:00:00.413518
13,2022-05-04 18:47:18.552644,14_L2_UNIV14_miner_1413,0 days 00:00:00.429908
14,2022-05-04 18:47:32.876204,14_L2_UNIV14_miner_1413,0 days 00:00:00.468068
15,2022-05-04 18:47:47.275333,14_L2_UNIV14_miner_1413,0 days 00:00:00.430820
16,2022-05-04 18:48:01.480837,14_L2_UNIV14_miner_1413,0 days 00:00:00.474689
17,2022-05-04 18:48:15.931327,14_L2_UNIV14_miner_1413,0 days 00:00:00.472900
18,2022-05-04 18:48:29.868965,14_L2_UNIV14_miner_1413,0 days 00:00:00.400922
19,2022-05-04 18:48:44.126307,14_L2_UNIV14_miner_1413,0 days 00:00:00.430880
0,2022-05-04 18:44:12.301702,14_L2_UNIV14_miner_1412,0 days 00:00:00.620073
1,2022-05-04 18:44:26.791539,14_L2_UNIV14_miner_1412,0 days 00:00:00.566090
2,2022-05-04 18:44:41.106717,14_L2_UNIV14_miner_1412,0 days 00:00:00.583598
3,2022-05-04 18:44:55.376905,14_L2_UNIV14_miner_1412,0 days 00:00:00.563979
4,2022-05-04 18:45:09.647192,14_L2_UNIV14_miner_1412,0 days 00:00:00.577384
5,2022-05-04 18:45:24.041326,14_L2_UNIV14_miner_1412,0 days 00:00:00.587576
6,2022-05-04 18:45:38.313688,14_L2_UNIV14_miner_1412,0 days 00:00:00.565600
7,2022-05-04 18:45:52.557506,14_L2_UNIV14_miner_1412,0 days 00:00:00.629472
8,2022-05-04 18:46:06.804742,14_L2_UNIV14_miner_1412,0 days 00:00:00.515297
9,2022-05-04 18:46:21.284454,14_L2_UNIV14_miner_1412,0 days 00:00:00.547518
10,2022-05-04 18:46:35.741883,14_L2_UNIV14_miner_1412,0 days 00:00:00.592424
11,2022-05-04 18:46:49.828179,14_L2_UNIV14_miner_1412,0 days 00:00:00.576500
12,2022-05-04 18:47:04.268612,14_L2_UNIV14_miner_1412,0 days 00:00:00.554706
13,2022-05-04 18:47:18.690641,14_L2_UNIV14_miner_1412,0 days 00:00:00.567905
14,2022-05-04 18:47:33.018673,14_L2_UNIV14_miner_1412,0 days 00:00:00.610537
15,2022-05-04 18:47:47.412260,14_L2_UNIV14_miner_1412,0 days 00:00:00.567747
16,2022-05-04 18:48:01.636573,14_L2_UNIV14_miner_1412,0 days 00:00:00.630425
17,2022-05-04 18:48:16.087648,14_L2_UNIV14_miner_1412,0 days 00:00:00.629221
18,2022-05-04 18:48:29.985973,14_L2_UNIV14_miner_1412,0 days 00:00:00.517930
19,2022-05-04 18:48:44.262884,14_L2_UNIV14_miner_1412,0 days 00:00:00.567457
0,2022-05-04 18:44:12.422736,14_L2_UNIV14_miner_1411,0 days 00:00:00.741107
1,2022-05-04 18:44:26.938821,14_L2_UNIV14_miner_1411,0 days 00:00:00.713372
2,2022-05-04 18:44:41.270958,14_L2_UNIV14_miner_1411,0 days 00:00:00.747839
3,2022-05-04 18:44:55.532490,14_L2_UNIV14_miner_1411,0 days 00:00:00.719564
4,2022-05-04 18:45:09.805993,14_L2_UNIV14_miner_1411,0 days 00:00:00.736185
5,2022-05-04 18:45:24.192016,14_L2_UNIV14_miner_1411,0 days 00:00:00.738266
6,2022-05-04 18:45:38.452655,14_L2_UNIV14_miner_1411,0 days 00:00:00.704567
7,2022-05-04 18:45:52.676747,14_L2_UNIV14_miner_1411,0 days 00:00:00.748713
8,2022-05-04 18:46:06.916269,14_L2_UNIV14_miner_1411,0 days 00:00:00.626824
9,2022-05-04 18:46:21.433039,14_L2_UNIV14_miner_1411,0 days 00:00:00.696103
10,2022-05-04 18:46:35.870252,14_L2_UNIV14_miner_1411,0 days 00:00:00.720793
11,2022-05-04 18:46:49.982463,14_L2_UNIV14_miner_1411,0 days 00:00:00.730784
12,2022-05-04 18:47:04.448614,14_L2_UNIV14_miner_1411,0 days 00:00:00.734708
13,2022-05-04 18:47:18.839893,14_L2_UNIV14_miner_1411,0 days 00:00:00.717157
14,2022-05-04 18:47:33.177630,14_L2_UNIV14_miner_1411,0 days 00:00:00.769494
15,2022-05-04 18:47:47.530068,14_L2_UNIV14_miner_1411,0 days 00:00:00.685555
16,2022-05-04 18:48:01.786408,14_L2_UNIV14_miner_1411,0 days 00:00:00.780260
17,2022-05-04 18:48:16.222933,14_L2_UNIV14_miner_1411,0 days 00:00:00.764506
18,2022-05-04 18:48:30.145201,14_L2_UNIV14_miner_1411,0 days 00:00:00.677158
19,2022-05-04 18:48:44.415774,14_L2_UNIV14_miner_1411,0 days 00:00:00.720347
0,2022-05-04 18:44:12.567189,14_L2_UNIV14_miner_1410,0 days 00:00:00.885560
1,2022-05-04 18:44:27.076544,14_L2_UNIV14_miner_1410,0 days 00:00:00.851095
2,2022-05-04 18:44:41.421502,14_L2_UNIV14_miner_1410,0 days 00:00:00.898383
3,2022-05-04 18:44:55.674377,14_L2_UNIV14_miner_1410,0 days 00:00:00.861451
4,2022-05-04 18:45:09.948847,14_L2_UNIV14_miner_1410,0 days 00:00:00.879039
5,2022-05-04 18:45:24.337310,14_L2_UNIV14_miner_1410,0 days 00:00:00.883560
6,2022-05-04 18:45:38.559913,14_L2_UNIV14_miner_1410,0 days 00:00:00.811825
7,2022-05-04 18:45:52.838261,14_L2_UNIV14_miner_1410,0 days 00:00:00.910227
8,2022-05-04 18:46:07.068570,14_L2_UNIV14_miner_1410,0 days 00:00:00.779125
